1,John Grant,Pale Green Ghosts
2,Savages,Silence Yourself
3,Matthew E White,Big Inner
4,Dan Avery,Drone Logic
5,Thee Oh Sees,Floating Coffin
6,Jon Hopkins,Immunity
7,Valerie June,Pushin Against A Stone
8,Moderat,2
9,Parquet Courts,Light Up Gold
10,Jessica Pratt,Jessica Pratt
11,Jagwar Ma,Howlin
12,Caitlin Rose,The Stand-In
13,My Bloody Valentine,m b v
14,Connan Mockasin,Caramel
15,Factory Floor,Factory Floor
16,Charles Bradley,Victim of Love
17,London Grammar,If You Wait
18,Queens Of The Stone Age,...Like Clockwork
19,Nick Cave And The Bad,Push Seeds The Sky Away
20,Mazzy Star,Seasons Of Your Day
21,Arctic Monkeys,AM
22,Public Service Broadcasting,Inform - Educate - Entertain
23,Arcade Fire,Reflektor
24,Haim,Days Are Gone
25,Daughter,If You Leave
26,John Wizards,John Wizards
27,Unknown Mortal Orchestra,2
28,Veronica Falls,Waiting For Something to Happen
29,Maps,Vicissitude
30,Sigur Ros,Kveikur
31,Goldfrapp,Tales of Us
32,Boards Of Canada,Tomorrows Harvest
33,Patty Griffin,American Kid
34,Fuck Buttons,Slow Focus
35,Daughn Gibson,Me Moan
36,Darkside,Psychic
37,Satellites,2
38,Cat Power,Sun
39,Primal Scream,More Light
40,Blondes,Swisher
41,Melt Yourself Down,Melt Yourself Down
42,Nadine Shah,Love Your Dum And Mad
43,The Strypes,Snapshot
44,Foals,Holy Fire
45,The National,Trouble Will Find Me
46,Vampire Weekend,Modern Vampires of The City
47,Atoms For Peace,Amok
48,Hookworms,Pearl Mystic
49,Chelsea Light Moving,Chelsea Light Moving
49,Body / Head,Coming Apart
51,Julia Holter,Loud City Song
52,Waxahatchee,Cerulean Salt
53,Goldheart Assembly,Long Distance Song Effects
54,Laura Marling,Once I Was An Eagle
55,Bill Callahan,Dream River
56,Fuzz,Fuzz
57,Dirty Beaches,Drifters / Love Is The Devil
58,Mark Lanegan,Imitations
59,Money,The Shadow of Heaven
60,James Holden,The Inheritors
61,Darkstar,News From Nowhere
62,David Bowie,The Next Day
63,Bonobo,The North Borders
64,Serafina Steer,The Moths Are Real
65,Palma Violets,180
66,Daft Punk,Random Access Memories
67,Suede,Bloodsports
68,The Men,New Moon
69,Keaton Henson,Birthdays
70,Jacco Gardner,Cabinet Of Curiosities
71,The Knife,Shaking The Habitual
72,Fimber Bravo,Con-Fusion
73,Edwyn Collins,Understated
74,Kurt Vile,Wakin On A Pretty Daze
75,The Black Angels,Indigo Meadow
76,Bill Ryder Jones,A Bad Wind Blows In My Heart
77,Kacey Musgraves,Same Trailer Different Park
78,Pond,Hobo Rocket
79,The Pastels,Slow Summits
80,Laura Veirs,Warp And Weft
81,Thundercat,Apocalypse
82,The Flaming Lips,The Terror
83,Purling Hiss,Water On Mars
84,Son Volt,Honky Tonk
85,Phosphorescent,Muchacho
86,The Proper Ornaments,Waiting For The Summer
87,Mark Kozelek and JimmyPerils,Lavalle From The Sea
88,The Asphodells,"Ruled By Passion, Destroyed By Lust"
89,Oneohtrix Point Never,R Plus Seven
90,Pantha Du Prince And The Elements Bell Laboratory,Of Light
91,Omar Souleyman,Wenu Wenu
92,White Hills,So You Are... So Youll Be
93,Dexter,The Trip
94,Foxygen,We Are The 21st Century Ambassadors Of Peace and Magic
95,Steve Mason,Monkey Minds In The Devils Time
96,Villagers,{Awayland}
97,James Blake,Overgrown
98,Laurel Halo,Chance Of Rain
99,Steve Earle And The Dukes,The Low And Highway Duchesses
100,Larry Gus,Years Not Living
101,Four Tet,Beautiful Rewind
