0,Karen O,Crush Songs
1,The Growlers,Chinese Fountain
2,Shabazz Palaces,Lese Majesty
3,Ariel Pink,Pom Pom
4,TOPS,Picture You Staring
5,Julian Casablancas + The Voidz,Tyranny
6,Fear of Men,Loom
7,Lana Del Rey,Ultraviolence
8,Sharon Van Etten,Are We There
9,Angel Olsen,Burn Your Fire For No Witness
10,Beverly,Careers
11,ScHoolboy Q,Oxymoron
12,Parquet Courts,Sunbathing Animal
13,Spoon,They Want My Soul
14,Caribou,Our love
15,Aphex Twin,SYRO
16,Future Islands,Singles
17,Twin Peaks,Wild Onion
18,Cloud Nothings,Here and Nowhere Else
19,EMA,The Future's Void
20,FKA Twigs,LP1
21,Wye Oak,Shriek
22,Alvvays,Alvvays
23,Mac DeMarco,Salad Days
24,Alt-J,This Is All Yours
25,Perfect Pussy,Say Yes to Love
26,Beck,Morning Phase
27,The War On Drugs,Lost In The Dream
28,Real Estate,Atlas
29,St. Vincent,St. Vincent
30,Kevin Morby,Still Life
31,Sun Kil Moon,Benji
32,The Men,Tomorrow's Hits
33,Cymbals Eat Guitars,LOSE
34,Theophilus London,VIBES
35,Lushes,What Am I Doing
36,Warpaint,Warpaint
