,Alabama Shakes,Sound & Color
,All Them Witches,Dying Surfer Meets His Maker
,Andrew Combs,All These Dreams
,Bop English,Constant Bop
,Bright Light Social Hour,Space Is Still The Place
,Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit"
,Deerhunter,Fading Frontier
,Destroyer,Poison Season
,Failure,The Heart Is A Monster
,James McMurtry,Complicated Game
,Jason Isbell,Something More Than Free
,JD McPherson,Let The Good Times Roll
,Kendrick Lamar,To Pimp a Butterfly
,Lowcut Connie,Hi Honey
,Mac Demarco,Another One
,Ryley Walker,Primrose Green
,Sleater-Kinney,No Cities to Love
,Sufjan Stevens,Carrie & Lowell
,Titus Adronicus,The Most Lamentable Tragedy
,Wilco,Star Wars
