1,Bjork,Vulnicura
2,Father John Misty,"I Love You, Honeybear"
3,Courtney Barnett,Sometimes I Sit and Think..
4,Ezra Furman,Perpetual Motion People
5,Max Richter,From Sleep
6,Wolf Alice,My Love Is Cool
7,Kamasi Washington,The Epic
8,Royal Headache,High
9,Romare,Projections
10,Jamie XX,In Colour
11,John Grant,"Grey Tickles, Black Press.."
12,Sufjan Stevens,Carrie and Lowell
13,Tame Impala,Currents
14,Nadine Shah,Fast Food
15,Wand,Golem
16,Kendrick Lamar,To Pimp A Butterfly
17,Django Django,Born Under Saturn
18,Tobias Jesso Jr,Goon
19,Georgia,Georgia
20,Palma Violets,Danger in the Club
21,Calexico,Edge of the Sun
22,Natalie Prass,Natalie Prass
23,FFS (Franz Ferdinand / Sp..,FFS (Franz Ferdinand / Sp..
24,Public Service Broadcasti..,The Race For Space
25,Floating Points,Elaenia
26,Bop English,Constant Bop
27,Ryley Walker,Primrose Green
28,Beach House,Depression Cherry
29,Sleaford Mods,Key Markets
30,Julia Holter,Have You In My Wilderness
31,Alabama Shakes,Sound and Color
32,Trevor Jackson,Format
33,Joanna Gruesome,Peanut Butter
34,Shopping,Why Choose
35,Songhoy Blues,Music in Exile
36,Mac Demarco,Another One
37,Richard Hawley,Hollow Meadows
38,Foals,What Went Down
39,New Order,Music Complete
40,Viet Cong,Viet Cong
41,Ultimate Painting,Green Lanes
42,Jim O&#39;Rourke,Simple Songs
43,Ibeyi,Ibeyi
44,Matthew E White,Fresh Blood
45,Fuzz,11
46,Liam Hayes,Slurrup
47,Death and Vanilla,To Where the Wild Things ..
48,Colleen,Captain of None
49,Girl Band,Holding Hands With Jamie
50,Deerhunter,Fading Frontier
51,The Orb,Moonbuilding 2703 AD
52,Godspeed You! Black Emper..,"Asunder, Sweet and Other .."
53,Lianne La Havas,Blood
54,Public Enemy,Man Plans God Laughs
55,Mercury Rev,The Light In You
56,Adele,25
57,Joanna Newsom,Divers
58,Ghost Culture,Ghost Culture
59,Leftfield,Alternative Light Source
60,Sleater Kinney,No Cities to Love
61,Mark Ronson,Uptown Special
62,Sarah Cracknell,Red Kite
63,Fraser A Gorman,Slow Gum
64,C Duncan,Architect
65,The Districts,A Flourish and A Spoil
66,The Unthanks,Mount The Air
67,Damaged Bug,Cold Hot Plumbs
68,Kurt Vile,B&#39;lieve I&#39;m Goin Down...
69,Stealing Sheep,Not Real
70,Mbongwana Star,From Kinshasa
71,Public Image Limited,What the World Needs Now
72,Drenge,Undertow
73,Holly Herndon,Platform
74,Follakzoid,III
75,Death Grips,The Powers That B
76,Metz,II
77,Shit And Shine,Everybody&#39;s A Fuckin Expe..
78,Lana Del Rey,Honeymoon
79,Destroyer,Poison Season
80,Andrew Combs,All These Dreams
81,Hills,Frid
82,Grimes,Art Angels
83,Waxahatchee,Ivy Tripp
84,Jenny Hval,"Apocalypse, Girl"
85,Shamir,Ratchet
86,Jason Isbell,Something More Than Free
87,Ought,Sun Coming Down
88,Sauna Youth,Distractions
89,Nils Frahm,Solo
90,The Fireworks,Switch Me On
91,Leon Bridges,Coming Home
92,Bully,Feels Like
93,Low,Ones and Sixes
94,Arca,Mutant
95,Girlpool,Before the World Was Big
96,Laura Marling,Short Movie
97,Unknown Mortal Orchestra,Multi-Love
98,Jessica Pratt,On Your Own Love Again
99,Ryan Adams,1989
100,Protomartyr,The Agent Intellect
